round,split,overall_relative_fourvector_rmse,E_rmse_gev,px_rmse_gev,py_rmse_gev,pz_rmse_gev
700,train_focus,0.19202567797572737,18.426949349327067,6.151015933750128,6.016947298465895,17.249774332021087
700,validation_focus,0.21434323538628075,20.43499637788003,5.1923865273332215,5.2226503619509135,19.160914008368895
735,train_focus,0.19084293231435004,18.329900447435524,6.131095757070429,5.995991851533602,17.1600509364998
735,validation_focus,0.2143414040678046,20.426205811709085,5.1890744197061744,5.221829386133033,19.1526173411772
770,train_focus,0.18969919497137516,18.233486179198046,6.1119092034194145,5.973862885158606,17.071681093437938
770,validation_focus,0.2143625173806338,20.420434769716135,5.186795202765104,5.220726322686012,19.147304902662288
805,train_focus,0.18859408518819137,18.143537632552285,6.0939781559689505,5.954777905605794,16.9882513906333
805,validation_focus,0.21449315952808973,20.418443577618024,5.186142713546593,5.220466660879521,19.145325365335534
840,train_focus,0.18747249556979545,18.05039075619477,6.074949309400935,5.934856832457436,16.90214037106835
840,validation_focus,0.2145932191381382,20.41893009584038,5.186844483954904,5.21990805409492,19.145650518197847
875,train_focus,0.18644664382543918,17.96669425796745,6.058456145180768,5.9155173278331885,16.82481579512113
875,validation_focus,0.21472858239470263,20.416804019323504,5.18577117556407,5.219623806627734,19.14373162011373
910,train_focus,0.18541019261968986,17.882310747727956,6.043744559989732,5.8965093612466895,16.74592775351566
910,validation_focus,0.21467484667983217,20.410281964115136,5.183242077049787,5.217331877940393,19.137839318558726
917,train_focus,0.18522338792824405,17.864181660340122,6.0398723611932805,5.892669256775768,16.729239411578348
917,validation_focus,0.21469239014895616,20.40893170789139,5.182383131803672,5.217082963278506,19.136597514483444
945,train_focus,0.1844568644084543,17.79760605660548,6.026480908751101,5.878583223732135,16.66792666852356
945,validation_focus,0.21476773779648026,20.41076073664905,5.184842165362406,5.2163094212925465,19.138112567679055
980,train_focus,0.1835527624121502,17.718916789985165,6.010715963677253,5.862863523901345,16.595085477574898
980,validation_focus,0.21477339377683577,20.408325706358482,5.183822524964975,5.215944416731737,19.135673644391403
997,train_focus,0.18308394723119792,17.67947035477371,6.003186892870219,5.854245267743184,16.558387068969374
997,validation_focus,0.2147682162314421,20.40869707251123,5.18415136838032,5.2158438193836405,19.135989696846973
1015,train_focus,0.18308307380735708,17.67947035477371,6.002832275195483,5.853821821643939,16.558482487344136
1015,validation_focus,0.21476778083382797,20.40869707251123,5.184027236748038,5.2155987389254985,19.13599827376481
1050,train_focus,0.18308107779090713,17.67947035477371,6.002146360166177,5.852971461000683,16.558651880442916
1050,validation_focus,0.21476701230431366,20.40869707251123,5.183528624221566,5.215306848418779,19.13607690642175
1085,train_focus,0.1830792195157883,17.67947035477371,6.001458817094874,5.852317974599571,16.558774474608853
1085,validation_focus,0.21476638831662592,20.40869707251123,5.183160361053007,5.215057483806516,19.13607768105383
1120,train_focus,0.18307748973956295,17.67947035477371,6.000760438998148,5.851655185357565,16.558922534541644
1120,validation_focus,0.2147662772876033,20.40869707251123,5.182959534599822,5.214970184405763,19.13610091679242
1155,train_focus,0.1830759913211286,17.67947035477371,6.000133933618751,5.851040303242527,16.559075004441365
1155,validation_focus,0.21476603765283242,20.40869707251123,5.182686488264845,5.214613344589896,19.13619477985352
1190,train_focus,0.18307423446464863,17.67947035477371,5.999572816527884,5.850385261327846,16.559197723717197
1190,validation_focus,0.2147655012664569,20.40869707251123,5.1827079378709175,5.214164914491857,19.136218119259816
1225,train_focus,0.18307280753448477,17.67947035477371,5.99903557030424,5.849864985631664,16.559313961130812
1225,validation_focus,0.2147649834529672,20.40869707251123,5.182320962755014,5.21382636454918,19.1363169509598
1260,train_focus,0.18307134111361684,17.67947035477371,5.998449643915245,5.84940227216349,16.559412898699083
1260,validation_focus,0.21476441816574487,20.40869707251123,5.1819870579596135,5.213532265815661,19.136382894410932
1295,train_focus,0.18306978759166426,17.67947035477371,5.99784238063433,5.848848207368154,16.55955451052634
1295,validation_focus,0.21476378804533774,20.40869707251123,5.18175303188798,5.2131869727974225,19.13640504348451
1330,train_focus,0.183068489583015,17.67947035477371,5.997401925404392,5.848340446181708,16.55965471376148
