round,target,split,rmse,weighted_rmse,effective_target_round
945,uy,validation_focus,0.009684278441846378,,945
945,uz,train_focus,0.0029346498138394317,0.002935585075963878,945
945,uz,validation_focus,0.0027247820642304827,,945
980,log1p_kinetic,train_focus,0.125380954174147,0.1254281937969922,980
980,log1p_kinetic,validation_focus,0.1501106551218429,,980
980,ux,train_focus,0.028858715976810095,0.028860822822968396,980
980,ux,validation_focus,0.010106622355744135,,980
980,uy,train_focus,0.026450126885933394,0.026453033538207188,980
980,uy,validation_focus,0.009676592154348282,,980
980,uz,train_focus,0.0029195010386726715,0.0029204253267460347,980
980,uz,validation_focus,0.0027117779775619314,,980
997,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
997,log1p_kinetic,validation_focus,0.1501105808290273,,997
997,ux,train_focus,0.02885566013090648,0.028857762849434487,997
997,ux,validation_focus,0.010107366108230827,,997
997,uy,train_focus,0.026446559905550355,0.02644946112902018,997
997,uy,validation_focus,0.009676520002551866,,997
997,uz,train_focus,0.002912909458142825,0.0029138289231734793,997
997,uz,validation_focus,0.0027066661613058766,,997
1015,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1015,log1p_kinetic,validation_focus,0.1501105808290273,,997
1015,ux,train_focus,0.02885284088296485,0.02885493962503606,1015
1015,ux,validation_focus,0.010102559764636861,,1015
1015,uy,train_focus,0.026443843316617654,0.026446741923455978,1015
1015,uy,validation_focus,0.00967159833609055,,1015
1015,uz,train_focus,0.002905480080061587,0.002906394892362099,1015
1015,uz,validation_focus,0.0027019771174390337,,1015
1050,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1050,log1p_kinetic,validation_focus,0.1501105808290273,,997
1050,ux,train_focus,0.028847762180357436,0.028849852500986234,1050
1050,ux,validation_focus,0.010098792118006203,,1050
1050,uy,train_focus,0.026436323734088316,0.026439211780026495,1050
1050,uy,validation_focus,0.009660677663020013,,1050
1050,uz,train_focus,0.002891578421307474,0.0028924812342712948,1050
1050,uz,validation_focus,0.0026922140281654206,,1050
1085,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1085,log1p_kinetic,validation_focus,0.1501105808290273,,997
1085,ux,train_focus,0.02884216222459188,0.02884424524924949,1085
1085,ux,validation_focus,0.010090287893277745,,1085
1085,uy,train_focus,0.026430326544800868,0.02643320521446039,1085
1085,uy,validation_focus,0.009653049887619745,,1085
1085,uz,train_focus,0.002879344790425033,0.002880237789768775,1085
1085,uz,validation_focus,0.0026826587709490373,,1085
1120,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1120,log1p_kinetic,validation_focus,0.1501105808290273,,997
1120,ux,train_focus,0.028836605615058207,0.028838679454396766,1120
1120,ux,validation_focus,0.010086214086963608,,1120
1120,uy,train_focus,0.026425084130514184,0.026427957127358903,1120
1120,uy,validation_focus,0.009652156731426768,,1120
1120,uz,train_focus,0.0028672153798524136,0.0028680984905792677,1120
1120,uz,validation_focus,0.0026742873201575004,,1120
1155,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1155,log1p_kinetic,validation_focus,0.1501105808290273,,997
1155,ux,train_focus,0.028832420704643556,0.02883448893193268,1155
1155,ux,validation_focus,0.010083799019878995,,1155
1155,uy,train_focus,0.026420079648403934,0.02642294600468288,1155
1155,uy,validation_focus,0.009648677787396148,,1155
1155,uz,train_focus,0.0028552739110940676,0.002856146763870826,1155
1155,uz,validation_focus,0.0026646446353540804,,1155
1190,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1190,log1p_kinetic,validation_focus,0.1501105808290273,,997
1190,ux,train_focus,0.028827336244067334,0.02882939341194287,1190
1190,ux,validation_focus,0.010081206000573467,,1190
1190,uy,train_focus,0.02641436826911087,0.026417226161238327,1190
1190,uy,validation_focus,0.00964110639018588,,1190
1190,uz,train_focus,0.00284430225146301,0.0028451660483317267,1190
1190,uz,validation_focus,0.0026562656344425455,,1190
1225,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1225,log1p_kinetic,validation_focus,0.1501105808290273,,997
1225,ux,train_focus,0.028822709824041504,0.028824757647865927,1225
1225,ux,validation_focus,0.010075833741526746,,1225
1225,uy,train_focus,0.02641017251266757,0.02641302486245249,1225
1225,uy,validation_focus,0.009635965000099441,,1225
1225,uz,train_focus,0.002834023567105401,0.0028348783330800578,1225
1225,uz,validation_focus,0.00264974558162369,,1225
1260,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1260,log1p_kinetic,validation_focus,0.1501105808290273,,997
1260,ux,train_focus,0.028818053349895713,0.028820094248493706,1260
1260,ux,validation_focus,0.010069801885233879,,1260
1260,uy,train_focus,0.026405684092754924,0.02640852944901309,1260
1260,uy,validation_focus,0.009630636646120221,,1260
1260,uz,train_focus,0.0028242144724530023,0.002825059749356201,1260
1260,uz,validation_focus,0.002643948858969911,,1260
1295,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1295,log1p_kinetic,validation_focus,0.1501105808290273,,997
1295,ux,train_focus,0.02881313170018839,0.028815162711438753,1295
1295,ux,validation_focus,0.010064490172099568,,1295
1295,uy,train_focus,0.02640088764359776,0.02640372392295784,1295
1295,uy,validation_focus,0.009622556003879327,,1295
1295,uz,train_focus,0.0028155983448666442,0.0028164358415807508,1295
1295,uz,validation_focus,0.0026379695340158346,,1295
1330,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1330,log1p_kinetic,validation_focus,0.1501105808290273,,997
1330,ux,train_focus,0.028809478530491744,0.028811502973541656,1330
1330,ux,validation_focus,0.010061943733835819,,1330
1330,uy,train_focus,0.02639645366817995,0.02639928239988315,1330
1330,uy,validation_focus,0.009618635237229601,,1330
1330,uz,train_focus,0.0028064186413747872,0.0028072486322068,1330
1330,uz,validation_focus,0.0026315795290634534,,1330
1365,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1365,log1p_kinetic,validation_focus,0.1501105808290273,,997
