round,target,split,rmse,weighted_rmse,effective_target_round
1680,log1p_kinetic,validation_focus,0.1501105808290273,,997
1680,ux,train_focus,0.028773710855723555,0.028775667569389544,1680
1680,ux,validation_focus,0.010031458899368049,,1680
1680,uy,train_focus,0.026358328797663075,0.026361087006662412,1680
1680,uy,validation_focus,0.009575909388004835,,1680
1680,uz,train_focus,0.0027349679889205982,0.002735730545528548,1680
1680,uz,validation_focus,0.0025864026558648457,,1680
1715,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1715,log1p_kinetic,validation_focus,0.1501105808290273,,997
1715,ux,train_focus,0.02877072558712129,0.02877267638034188,1715
1715,ux,validation_focus,0.010030087541731717,,1715
1715,uy,train_focus,0.026355014241685643,0.026357766572230396,1715
1715,uy,validation_focus,0.009572647997003678,,1715
1715,uz,train_focus,0.00272911155223256,0.002729868281126474,1715
1715,uz,validation_focus,0.0025832161802737804,,1715
1750,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1750,log1p_kinetic,validation_focus,0.1501105808290273,,997
1750,ux,train_focus,0.02876800938276202,0.028769954274774058,1750
1750,ux,validation_focus,0.010027587154038438,,1750
1750,uy,train_focus,0.0263514538334557,0.026354198997684035,1750
1750,uy,validation_focus,0.009571279464450385,,1750
1750,uz,train_focus,0.0027231215376424317,0.0027238719497575782,1750
1750,uz,validation_focus,0.0025788271392515457,,1750
1785,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1785,log1p_kinetic,validation_focus,0.1501105808290273,,997
1785,ux,train_focus,0.028765124748458982,0.028767063735078174,1785
1785,ux,validation_focus,0.010025353052505152,,1785
1785,uy,train_focus,0.026348047704596797,0.026350785140403243,1785
1785,uy,validation_focus,0.009566969156031616,,1785
1785,uz,train_focus,0.00271787651307507,0.002718622236354649,1785
1785,uz,validation_focus,0.0025761770362598257,,1785
1820,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1820,log1p_kinetic,validation_focus,0.1501105808290273,,997
1820,ux,train_focus,0.028762492423742046,0.028764424775907172,1820
1820,ux,validation_focus,0.010025738741538517,,1820
1820,uy,train_focus,0.026344953792878153,0.026347685331287257,1820
1820,uy,validation_focus,0.009564128446927346,,1820
1820,uz,train_focus,0.0027124271925666353,0.0027131681970940353,1820
1820,uz,validation_focus,0.002572156477375364,,1820
1855,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1855,log1p_kinetic,validation_focus,0.1501105808290273,,997
1855,ux,train_focus,0.028759946454761834,0.028761872252257417,1855
1855,ux,validation_focus,0.010025657086584516,,1855
1855,uy,train_focus,0.026341477955913475,0.026344202336578852,1855
1855,uy,validation_focus,0.009565479017136357,,1855
