binning,component,bin_low_gev,bin_high_gev,bin_center_gev,n,r2,mae_gev,rmse_gev,bias_gev,residual_sigma_gev,norm_bias_mean,norm_resolution_sigma
focus_20gev,py,130.0,150.0,140.0,5089,0.9740442151948527,2.1006170290764756,3.8898481771546325,-0.12027696533975801,3.888370261917659,-0.0008560293638888573,0.027744651030965566
focus_20gev,pz,130.0,150.0,140.0,5089,-3.716212149114768,9.834817263573896,14.947308676783935,2.512475543857663,14.736084086809687,0.018006038438740293,0.10533971745533174
focus_20gev,E,150.0,170.0,160.0,5103,-8.26565016183495,11.141084349293582,17.53583553607153,0.8973657864744841,17.514576110365685,0.0057955085639584385,0.10926052312021194
focus_20gev,px,150.0,170.0,160.0,5103,0.9771405074525809,2.2884141604562216,4.245785712583362,0.07131324410928512,4.245602784335159,0.00044501838639587714,0.026497618836550916
focus_20gev,py,150.0,170.0,160.0,5103,0.9750471619569633,2.2816594423498464,4.376141274843395,0.13487839503044188,4.374490857267385,0.0008261609767453181,0.02728030502107255
focus_20gev,pz,150.0,170.0,160.0,5103,-4.238676659933881,10.591407791371005,16.510739381821214,0.9328051093177674,16.48598343832996,0.006007680236919531,0.10284479925441124
focus_20gev,E,170.0,190.0,180.0,5032,-10.886608644437311,11.994763235063893,19.949604460751665,-1.673885216937808,19.881231762054373,-0.009245784541898462,0.11056802232064249
focus_20gev,px,170.0,190.0,180.0,5032,0.973950894436136,2.428047464084422,4.988206897215939,0.09752173458359772,4.987749136446887,0.0005466417899472396,0.027722121288805968
focus_20gev,py,170.0,190.0,180.0,5032,0.9748918401413421,2.4657708984099025,4.9483344031739875,0.3473707172766464,4.936617262148281,0.0019398587190860499,0.027460305262592688
focus_20gev,pz,170.0,190.0,180.0,5032,-5.212136743992757,11.391686305499336,18.743170637465465,-1.492238217262865,18.685530669226754,-0.008239485209584998,0.10391838643303752
focus_20gev,E,190.0,210.0,200.0,5103,-13.853011620384837,12.807367763792469,22.323132806629093,-4.481408661819842,21.87082463804358,-0.02228357392468088,0.10930586281567292
focus_20gev,px,190.0,210.0,200.0,5103,0.9727458242152347,2.655228636601381,5.791741556095289,0.15961940398097907,5.790108948391544,0.0008011868205617901,0.028879390028996095
focus_20gev,py,190.0,210.0,200.0,5103,0.9729217987328111,2.6475549691538722,5.683136804072626,0.4654872419405185,5.664596504549061,0.002336078194465162,0.028436911375037413
focus_20gev,pz,190.0,210.0,200.0,5103,-5.782288415271937,12.151369782261636,20.950568234144548,-4.1332580624623585,20.540817143228914,-0.02054932129666415,0.10265875905566436
focus_20gev,E,210.0,230.0,220.0,5037,-20.052010202267013,14.10683227477593,26.332874061774806,-8.63759710526903,24.878405300889217,-0.039080134994991356,0.11291767129638645
focus_20gev,px,210.0,230.0,220.0,5037,0.9680482829240058,3.037881566189603,6.907219348924566,0.1381770823566448,6.90652272578554,0.000628701912699794,0.031385461355564546
focus_20gev,py,210.0,230.0,220.0,5037,0.9701224383858503,2.963810331400834,6.624341570218313,0.7170079510884482,6.586077162769631,0.003261448654891366,0.029881062828811172
focus_20gev,pz,210.0,230.0,220.0,5037,-7.445938040866748,13.335568512930184,24.59913883951966,-8.028951655289195,23.254266806344916,-0.03632076891676043,0.1055340483016836
focus_20gev,E,230.0,250.0,240.0,5112,-26.700707658665458,16.422569106035862,30.66892187095279,-15.052883732396621,26.72326996224596,-0.062473555283873314,0.11106760526711194
focus_20gev,px,230.0,250.0,240.0,5112,0.9676711215996741,3.45081034866213,7.601290011409336,0.2918049668101956,7.596429950361995,0.0012229012910167127,0.03156758071685965
